,ID,Country,Brand,Type,Package,Rating,Image
38,38,IDN,Brand E,Hot Garlic Instant Noodles,Pack,4.3,
39,39,KOR,Brand F,Song Song Kimchi Big Bowl,Bowl,4.3,
40,40,Ghana,Brand A,Instant Noodles Beef In Light Soup Flavour,Pack,3.5,
41,41,JPN,Brand B,Hakata Ramen Noodle White Tonkotsu,Bowl,4.8,
42,42,MYS,Brand C,Penang White Curry Rice Vermicelli Soup,Bowl,5,
43,43,SGP,Brand D,Signature Tom Yum Flavor Instant Noodles,Pack,4,
44,44,KOR,Brand E,Paegaejang Ramen,Pack,5,
45,45,IDN,Brand F,Gekikara Ramen Extra Hot Ramen Goreng,Pack,4.5,
46,46,KOR,Brand G,Plain Instant Noodle No Soup Included,Pack,#VALUE!,
47,47,CHN,Brand A,Chongqing Spicy Hot Noodles,Bowl,4,
48,48,JPN,Brand B,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,3.8,
49,49,SGP,Brand C,Instant Noodles Laksa Singapura Flavour,Pack,5,
50,50,USA,Brand D,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,1.5,
51,51,SGP,Brand E,Curry Flavour Instant Noodles,Cup,5,
52,52,JPN,Brand F,Super Cup Yochan Ika Yakisoba,Tray,1.5,
53,53,USA,Brand G,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,5,
54,54,TWN,Brand A,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,3.3,
55,55,HKG,Brand B,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,3.8,
56,56,USA,Brand C,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,5,
57,57,SGP,Brand D,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,5,
58,58,Ghana,Brand E,Instant Noodles Beef,Pack,3.5,
59,59,USA,Brand F,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,5,
60,60,JPN,Brand A,Hokkaido Hakodate Shoyu Ramen,Pack,4,
61,61,KOR,Brand B,Shin Ramyun Black,Pack,5,
62,62,JPN,Brand C,Nippon Onomichi Ramen,Bowl,4.8,
63,63,CHN,Brand D,Pickled Cabbage Beef,Pack,4.3,
64,64,KOR,Brand E,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,2,
65,65,JPN,Brand F,Gotsumori Chanpon Ramen,Bowl,4.5,
66,66,SGP,Brand G,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,5,
67,67,VNM,Brand A,Mushroom Flavor,Pack,0,
68,68,KOR,Brand B,Jjamppong Big Bowl,Bowl,4.5,
69,69,JPN,Brand C,Curry Udon,Pack,3.5,
70,70,SGP,Brand D,Straits Reborn Laksa,Pack,5,
71,71,KOR,Brand E,Budae Jjigae Noodle Soup,Pack,4.5,
72,72,JPN,Brand F,Hearty JPNese Style Curry Udon,Pack,5,
73,73,SGP,Brand G,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,4.5,
74,74,SGP,Brand A,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,5,
75,75,KOR,Brand B,Anchovy Flavor Guava Rice Noodles,Tray,1,
76,76,JPN,Brand C,Umami Ramen,Pack,4,
77,77,JPN,Brand D,Nabeyaki Tempura Udoin,Bowl,4.5,
78,78,JPN,Brand E,Hokkaido Hakodate Miso Ramen,Pack,3.5,
79,79,TWN,Brand F,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,5,
80,80,JPN,Brand A,Kirin Giraffe Shoyu Ramen,Pack,4.5,
81,81,USA,Brand B,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,3.5,
82,82,TWN,Brand C,Dan Dan Noodle,Pack,5,
83,83,KOR,Brand D,Samyang Ramen Classic Edition,Bowl,5,
84,84,MYS,Brand E,Penang Red Tom Yum Goong Noodle,Pack,5,
85,85,IDN,Brand F,Hot Heads Green Chilli Noodles,Pack,3.5,
86,86,KOR,Brand G,Mala Buldak Bokkeummyun,Pack,3.8,
87,87,IDN,Brand A,RMy Noodlez Rumput Laut,Pack,4,
88,88,SGP,Brand B,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,3.8,
89,89,JPN,Brand C,Super Cup Torigawa Shoyu,Bowl,3.5,
90,90,KOR,Brand D,Shin Ramyun,Pack,3,
91,91,CHN,Brand E,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,0,
92,92,NGA,Brand F,Onion Chicken Flavor,Pack,1.5,
93,93,TWN,Brand G,Toona Paste Noodle,Pack,4,
94,94,MYS,Brand A,Supreme Creamy Tom Yum Noodle,Box,5,
95,95,SGP,Brand B,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,5,
96,96,DEU,Brand C,Demae Ramen Spicy Beef,Pack,3.8,
97,97,DEU,Brand D,Cup Noodles Spicy,Cup,3.8,
98,98,DEU,Brand E,Soba Thai,Pack,4.5,
99,99,DEU,Brand F,Cup Noodles Huhn (Chicken),Cup,3.8,
100,100,DEU,Brand A,Demae Ramen Korean Kimchi,Pack,3.5,
101,101,DEU,Brand B,Cup Noodles Curry,Cup,3.8,
102,102,HUN,Brand C,Smack Chili,Pack,3.8,
103,103,DEU,Brand D,Soba Yakitori Chicken,Cup,5,
104,104,DEU,Brand E,Demae Ramen Garlic Chicken,Pack,3.5,
105,105,DEU,Brand F,Cup Noodles Ente (Duck),Cup,3,
106,106,DEU,Brand G,Demae Ramen Thai Tom Yum,Pack,3.8,
107,107,DEU,Brand A,Soba Sukiyaki Beef,Cup,4.5,
108,108,DEU,Brand B,Demae Ramen Spicy,Pack,3.5,
109,109,DEU,Brand C,Cup Noodles Shrimps,Cup,3,
110,110,DEU,Brand D,Demae Ramen Tokyo Soy Sauce,Pack,4,
111,111,KOR,Brand E,Bul Jjamppong,Bowl,5,
112,112,TWN,Brand F,Chicken With Chinese Shaoxing Wine,Pack,4.8,
113,113,KOR,Brand G,Buldak Bokkeummyun,Cup,3.8,
114,114,JPN,Brand A,Pork Wantan Men,Bowl,4.3,
115,115,MYS,Brand B,Instant Noodles Chicken Flavour,Pack,4,
116,116,TWN,Brand C,Scallion Oil & Soy Sauce Noodle,Pack,5,
117,117,TWN,Brand D,Sichuan Spices Flavor Noodle,Pack,5,
118,118,KOR,Brand E,Kimchi Stew Ramyun,Bowl,4,
119,119,JPN,Brand F,Seimen Red Spicy Dandan Men,Bowl,4.8,
120,120,KOR,Brand A,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,4.3,
121,121,JPN,Brand B,Mini Instant Noodle Mild Curry Flavor,Pack,2,
122,122,TWN,Brand C,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,3.5,
123,123,HKG,Brand D,Cup Noodles Mini Seafood Flavour,Cup,5,
124,124,USA,Brand E,Udon JPNese Style Noodles With Soup Base Hot & Sour Flavor,Pack,3.8,
125,125,SGP,Brand F,Signature Curry Flavor Instant Noodles,Cup,3.5,
126,126,JPN,Brand G,Dossari Yasai Chanpon,Cup,4.3,
127,127,KOR,Brand A,Volcano Curry Kkokkomyun,Pack,3.5,
128,128,HKG,Brand B,Instant Noodle King Pepper Duck Flavour Soup,Pack,4,
129,129,CHN,Brand C,Cup Noodles XO Sauce Seafood,Cup,3.8,
130,130,KOR,Brand D,Extreme Spicy Hot Chicken Flavor Udon,Bowl,2,
131,131,IDN,Brand E,Gekikara Ramen Rasa Pedas,Pack,3.3,
132,132,TWN,Brand F,Sesame Oil Chicken Noodle With Rice Wine,Bowl,5,
133,133,JPN,Brand G,Hokkaido Hakodate Shio Ramen,Pack,4.5,
134,134,USA,Brand A,Katsuo Bowl Udon,Bowl,5,
135,135,JPN,Brand B,Cup Noodles MUG Shoyu & Seafood,Pack,3.5,
136,136,KOR,Brand C,Sari Ramen,Pack,#VALUE!,
137,137,SGP,Brand D,Instant Noodles Chicken Satay Flavour,Pack,3.5,
138,138,SGP,Brand E,Signature Spicy SGP Fried Noodles Instant Noodles,Pack,4.3,
139,139,SGP,Brand F,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,5,
140,140,SGP,Brand A,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,3.3,
141,141,SGP,Brand B,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,4.5,
142,142,SGP,Brand C,Signature Laksa Singapura Instant Noodles,Bowl,5,
143,143,SGP,Brand D,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,5,
144,144,SGP,Brand E,Purple Wheat Noodles Chili & Lime Flavor,Pack,4,
145,145,SGP,Brand F,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,5,
146,146,SGP,Brand G,Seafood Flavor Instant Noodles,Cup,3.5,
147,147,SGP,Brand A,Signature Stir-Fry Original Flavor Instant Noodles,Pack,3,
148,148,SGP,Brand B,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,5,
149,149,SGP,Brand C,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,4.3,
150,150,SGP,Brand D,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,5,
151,151,SGP,Brand E,Signature Chicken Flavor Instant Noodles,Cup,3.8,
152,152,MEX,Brand F,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,3.5,
153,153,JPN,Brand G,Penang Hokkien Prawn Flavor Noodle,Box,5,
154,154,CHN,Brand A,Roasted Pork Noodle,Pack,4.5,
155,155,TWN,Brand B,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,5,
156,156,IDN,Brand C,Mi Goreng Original Flavour Fried Noodles,Pack,5,
157,157,JPN,Brand D,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,4.5,
158,158,HKG,Brand E,Artificial Dongpo's Braised Pork Flavour,Pack,4.8,
159,159,VNM,Brand F,Lau Tom Chua Cay,Pack,3.5,
160,160,TWN,Brand A,Old Beijing Fried Bean Sauce Noodle,Pack,4.3,
161,161,JPN,Brand B,Cup Noodles IDN Mie Goreng,Cup,3.8,
162,162,THA,Brand C,Yummy Spicy Rice Soup With Seafood,Bowl,3.5,
163,163,USA,Brand D,Udon JPNese Style Fresh Noodle,Bowl,3.8,
164,164,MYS,Brand E,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,5,
165,165,JPN,Brand F,T's Restaurant Sura Tanmen,Cup,4,
166,166,TWN,Brand G,Sesame Oil Chicken With Rice Wine Noodle,Bowl,5,
167,167,JPN,Brand A,HALAL Chicken Shoyu Sauce Ramen,Pack,2.5,
168,168,USA,Brand B,Vegan Pad Thai Noodle Soup,Cup,0,
169,169,HKG,Brand C,Seafood Flavour Rice Vermicelli,Cup,5,
170,170,KOR,Brand D,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,3.8,
171,171,TWN,Brand E,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,3.5,
172,172,MEX,Brand F,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,3.3,
173,173,TWN,Brand G,Baseball Snack Noodle,Pack,5,
174,174,CHN,Brand A,Cup Noodles Spicy Seafood Flavor,Cup,3.8,
175,175,JPN,Brand B,Penang Red Tom Yum Goong,Box,5,
176,176,JPN,Brand C,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,4.5,
177,177,IDN,Brand D,Bihun Kuah Rasa Baso Sapi,Pack,3.8,
178,178,CHN,Brand E,Hot & Sour Beef Noodles,Bowl,4.3,
179,179,JPN,Brand F,Kitsune Udon Donbei (West),Bowl,5,
180,180,TWN,Brand A,THA Green Curry Instant Noodle,Bowl,5,
181,181,HKG,Brand B,Cup Noodles Beef Flavour,Cup,2.5,
182,182,USA,Brand C,Sanukiya Udon Shrimp Flavor,Pack,3.3,
183,183,USA,Brand D,Chicken Fajita Flavor Instant Ramen Noodles,Pack,3.8,
184,184,USA,Brand E,Lamb Stew Flavor Instant Ramen Noodles,Pack,3.8,
185,185,USA,Brand F,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,3.5,
186,186,USA,Brand G,Chicken Taco Flavor Instant Ramen Noodles,Pack,3.8,
187,187,TWN,Brand A,Chuan Wei Spicy Guan-miao Noodles,Pack,4.5,
188,188,CHN,Brand B,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,0.3,
189,189,HKG,Brand C,Cup Noodles Mini Spicy Seafood,Cup,4,
190,190,SGP,Brand D,Penang Hokkien Prawn Noodle Soup,Pack,5,
191,191,USA,Brand E,Yakisoba JPNese Style Noodle,Bowl,4.8,
192,192,IDN,Brand F,Nutri-licious Pazzta Tomato Twist,Pack,3.8,
193,193,CHN,Brand G,Chongqing Noodles Burning Dry Noodles,Bowl,5,
194,194,SGP,Brand A,Cup Noodles Tom Yam Seafood Flavour,Cup,5,
195,195,IDN,Brand B,My Noodles Mi Goreng Pizza Cheese,Pack,4,
196,196,CHN,Brand C,Shaanxi Cold Noodle: Mustard Spicy,Tray,1,
197,197,KOR,Brand D,Cheese Buldak Bokkeummyun (Black),Bowl,4,
198,198,FJI,Brand E,2 Minute Noodles Chicken Flavour,Pack,3.3,
199,199,CHN,Brand F,Chicken Flavor Instant Noolde,Pack,4.3,
200,200,HKG,Brand A,Cup Noodles Prawn Flavour,Cup,3.8,
201,201,JPN,Brand B,Hokkaido Miso Ramen,Pack,3,
202,202,MYS,Brand C,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,5,
203,203,KOR,Brand D,Jin Jjambbong Spicy Seafood Ramyun,Pack,5,
204,204,HKG,Brand E,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,3.8,
205,205,USA,Brand F,Imitation Chicken Flavor,Cup,4,
206,206,CHN,Brand G,Three Fresh Delicacies Instant Noodle,Pack,4.3,
207,207,HKG,Brand A,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,3.5,
208,208,FJI,Brand B,2 Minute Noodles Curry Flavour,Pack,4,
209,209,TWN,Brand C,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,4.8,
210,210,CHN,Brand D,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,4.3,
211,211,USA,Brand E,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,3.5,
212,212,KOR,Brand F,Seaweed Instant Noodle,Cup,0.5,
213,213,HKG,Brand G,Demae Iccho Seafood Flavour Instant Noodle,Cup,4.8,
214,214,KOR,Brand A,Non-Fried Ramyun With Spicy Beef Broth,Pack,3.8,
215,215,USA,Brand B,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,2.5,
216,216,HKG,Brand C,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,4.5,
217,217,MYS,Brand D,Penang White Curry Instant Noodle (JPN Version),Box,5,
218,218,THA,Brand E,Disney Cuties Instant Chicken With Corn Flavour,Cup,3.3,
219,219,TWN,Brand F,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,5,
220,220,IDN,Brand A,Mi Goreng Garlic Flavour Fried Noodles,Pack,4.5,
221,221,IDN,Brand B,Top Ramen Atta Nooldes Masala,Pack,4.5,
222,222,CHN,Brand C,Instant Spicy Rice Noodle,Bowl,4,
223,223,JPN,Brand D,Tanuki Soba,Cup,3.5,
224,224,KOR,Brand E,Zzaldduck Buldak Bokkeummyun Snack,Pack,4.5,
225,225,KOR,Brand F,Curry Buldak Bokkeummyun,Pack,4.3,
226,226,KOR,Brand G,Cool/Ice Buldak Bokkeummyun,Pack,3.8,
227,227,KOR,Brand A,2x Spicy Haek Buldak Bokkeummyun,Pack,4,
228,228,KOR,Brand B,Buldak Bokkeummyun Snack,Pack,5,
229,229,KOR,Brand C,Stew Buldak Bokkeumtangmyun,Pack,5,
230,230,KOR,Brand D,Cheese Buldak Bokkeummyun,Pack,4,
231,231,KOR,Brand E,Buldak Bokkeummyun (New Packaging),Pack,4,
232,232,CHN,Brand F,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,4,
233,233,HKG,Brand G,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,5,
234,234,IDN,Brand A,Instant Noodles Artificial Chicken Flavoured,Pack,2,
235,235,JPN,Brand B,Kitsune Udon,Cup,2,
236,236,CHN,Brand C,Pickled Cabbage Flavor Instant Vermicelli,Bowl,4,
237,237,HKG,Brand D,Noodle King Artificial Wonton Soup Flavored,Bowl,5,
238,238,KOR,Brand E,Spicy Shrimp Cup Noodle,Cup,4,
239,239,JPN,Brand F,Nagasaki Agodashi Shoyu Ramen,Pack,4,
240,240,VNM,Brand A,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,5,
241,241,JPN,Brand B,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,4,
242,242,TWN,Brand C,Minced Pork Flavor Instant Noodles,Pack,1,
243,243,IDN,Brand D,Chatpat Masala,Pack,4,
244,244,HKG,Brand E,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,4,
245,245,AUS,Brand F,Noodles Chicken & Corn Flavour,Cup,3,
246,246,JPN,Brand G,Hokkaido Salt Ramen,Pack,3,
247,247,HKG,Brand A,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,3,
248,248,PAK,Brand B,Chatt Patta Instant Noodles,Pack,1,
249,249,KOR,Brand C,Clam Flavor Soup Kal-guksu,Pack,5,
250,250,MEX,Brand D,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,4,
251,251,MEX,Brand E,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,4,
252,252,MEX,Brand F,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,4,
253,253,MEX,Brand G,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,4,
254,254,MEX,Brand A,RapiFideo Sabor A Tomate Y Pollo,Cup,4,
255,255,MEX,Brand B,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,3,
256,256,MEX,Brand C,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,4,
257,257,MEX,Brand D,Cup Noodles Sopa Nissin Con Camaron,Cup,3,
258,258,MEX,Brand E,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,3,
259,259,MEX,Brand F,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,5,
260,260,MEX,Brand A,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,4,
261,261,MEX,Brand B,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,4,
262,262,MEX,Brand C,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,4,
263,263,MEX,Brand D,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,4,
264,264,TWN,Brand E,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,4,
265,265,IDN,Brand F,Atta Noodles Jhatpat Banao Befikr Khao,Pack,5,
266,266,CHN,Brand G,Shaanxi Cold Noot Hot & Sour Flavor,Pack,3,
267,267,USA,Brand A,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,4,
268,268,HKG,Brand B,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,4,
269,269,BGD,Brand C,Mr. Noodles Curry Flavor Instant Noodles,Pack,4,
270,270,KOR,Brand D,Bul Jjajangmyeon,Pack,5,
271,271,JPN,Brand E,Kirin Giraffe Shio Ramen,Pack,5,
272,272,JPN,Brand F,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,3,
273,273,HKG,Brand G,Black Pepper XO Sauce Flavour,Bowl,5,
274,274,JPN,Brand A,Nupasta Bolognese Flavour Instant Noodle,Cup,4,
275,275,KOR,Brand B,Saeutang Sabalmyeon,Bowl,3.5,
276,276,TWN,Brand C,Sichuan Spicy Flavor,Pack,5,
277,277,THA,Brand D,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,4,
278,278,JPN,Brand E,Cup Noodle Spicy Curry Chicken,Cup,5,
279,279,USA,Brand F,Ramen Noodles Miso Flavor,Bowl,3,
280,280,HKG,Brand A,Cup Noodles Spicy Beef Flavour,Cup,4,
281,281,TWN,Brand B,Sesame Oil With Garlic Flavor Thin Noodle,Pack,3.5,
282,282,TWN,Brand C,Traditional Shallot & Onion Oil Noodle,Pack,5,
283,283,TWN,Brand D,Sesame Sauce Matcha Noodle,Pack,3.8,
284,284,BGD,Brand E,Mr. Noodles Instant Noodles Beef Flavour,Pack,4,
285,285,HKG,Brand F,Cup Noodles Big Seafood Flavour,Cup,4,
286,286,AUS,Brand G,Noodles Chicken Chow Mein Flavour,Cup,4,
287,287,MEX,Brand A,Ramyun Sabor Pollo,Pack,4,
288,288,HKG,Brand B,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,4,
289,289,JPN,Brand C,Chicken Flavor Ramen,Pack,4,
290,290,IDN,Brand D,2 Minute Noodles Masala Spicy,Pack,5,
291,291,MEX,Brand E,Sopa Maruchan Sobar A Camaron,Pack,3,
292,292,JPN,Brand F,Yakisoba,Tray,5,
293,293,AUS,Brand G,Noodle With Oriental Chicken Flavour,Cup,3,
294,294,HKG,Brand A,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,4,
295,295,MYS,Brand B,Mi Segera Mmm... Original,Pack,3,
296,296,USA,Brand C,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,4,
297,297,CHN,Brand D,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,3,
298,298,AUS,Brand E,Noodles With Chicken Flavour,Cup,3,
299,299,CHN,Brand F,Cup Noodles Seafood,Cup,4,
300,300,JPN,Brand A,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,4,
301,301,HKG,Brand B,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,5,
302,302,CHN,Brand C,Chongqing Noodles Spicy Hot Flavor,Pack,5,
303,303,KOR,Brand D,Buldak Bokkummyun Cheese Flavor,Pack,4,
304,304,HKG,Brand E,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,5,
305,305,JPN,Brand F,Shin Toyama Black Ramen,Bowl,4,
306,306,HKG,Brand G,Cup Noodles Tom Yum Goong Flavour,Cup,4,
307,307,CHN,Brand A,Artificial Abalone Crab Flavor Instant Noodle,Pack,0,
308,308,HKG,Brand B,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,4,
309,309,AUS,Brand C,Noodles Beef Flavour,Cup,3,
310,310,HKG,Brand D,Korean Kimchi Flavour Vermicelli,Cup,4,
311,311,JPN,Brand E,Raoh Pork Bone Soy Soup Noodle,Pack,5,
312,312,KOR,Brand F,Gold Jjamppong Fried Noodle,Pack,5,
313,313,HKG,Brand G,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,4,
314,314,CHN,Brand A,Chongqing Noodles Hot & Sour Flavor,Pack,4,
315,315,HKG,Brand B,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,5,
316,316,JPN,Brand C,Raoh Tantanmen,Pack,5,
317,317,USA,Brand D,Ramen Noodles Soy Sauce Flavor,Bowl,3,
318,318,USA,Brand E,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,3,
319,319,CHN,Brand F,Hot & Sour Beef Noodles,Pack,4,
320,320,AUS,Brand A,Noodles With Braised Beef Flavour,Cup,4,
321,321,TWN,Brand B,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,4,
322,322,HKG,Brand C,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,4,
323,323,CHN,Brand D,Chongqing Noodles Burning Dry Noodles,Pack,5,
324,324,KOR,Brand E,Fresh Bibimmyun Fried Noodle,Pack,4,
325,325,IDN,Brand F,Instant Noodles Veg Masala Flavour,Pack,4,
326,326,HKG,Brand G,Nupasta Neapolitan Flavour Instant Noodle,Pack,5,
327,327,USA,Brand A,Karami Ramen Spicy Chili Flavour JPNese Style Noodle With Soup Base,Pack,2,
328,328,THA,Brand B,Disney Cuties Instant Noodle Crab Flavour,Cup,4,
329,329,JPN,Brand C,Cup Noodles Rich Soft Shelled Turle Soup,Cup,3,
330,330,TWN,Brand D,Instant Vegetarian Beehoon Rice Vermicelli,Pack,1,
331,331,CHN,Brand E,Broad Noodle Artificial Beef Flavor Hot Pot,Pack,4,
332,332,USA,Brand F,Curry Flavour Instant Noodles,Cup,5,
333,333,JPN,Brand G,Tohokuno Aji Yonezawa Ramen,Bowl,4,
334,334,TWN,Brand A,Science Noodle (X'Mas Edition),Pack,5,
335,335,USA,Brand B,Pho Beef Flavor VNMese Rice Noodle Soup,Bowl,3.8,
336,336,HKG,Brand C,Instant Wonton Noodles Scallop Lobster Soup Flavour,Bowl,4.3,
